,0.0 g,72.65 g,269.84 g,470.02 g,669.36 g,870.88 g,1070.5 g,1347.91 g,1549.41 g,1748.85 g,1945.82 g,2145.44 g,2272.46 g,2469.43 g,2668.86 g,2870.37 g,3069.99 g,3350.48 g,3549.81 g,3749.24 g,3946.21 g,4145.83 g,4315.0 g,4511.98 g,4713.46 g,4813.52 g,4992.03 g,5193.54 g,5390.52 g,5589.85 g
101,230091,238272,260642,283425,305932,FALSE,351374,382953,405656,428246,450982,473376,487643,510357,532704,555850,578044,609860,FALSE,654953,678043,700234,718791,741989,764319,775656,796388,818996,841191,863708
102,230149,FALSE,260525,283346,305992,4194303,351213,382824,405796,428239,450971,473384,487686,FALSE,532712,555663,578050,610055,-6577153,655035,678046,700265,719232,741794,764272,775932,796320,818971,841294,863870
103,230176,238336,260603,283502,305976,328466,351526,383184,405759,428697,451171,473432,487939,3670015,532883,555297,578361,610280,632523,655383,678063,700111,719594,741736,764691,775901,796158,819224,841144,863961
104,230147,238082,260573,283371,305790,328512,351495,383227,405950,428573,451060,473296,487616,510262,532616,555422,578549,610055,632458,FALSE,677793,700128,719988,741581,764672,775846,796091,818945,841069,FALSE
105,230144,238105,260539,283284,305979,328828,351206,FALSE,405787,428494,450628,473448,487762,510477,532660,555436,578378,609933,632591,1474559,677217,700053,719841,741429,764659,FALSE,795639,818904,841356,863707
106,229878,238358,260636,283287,305881,328765,351446,383135,405772,428344,450541,473418,487782,510092,532557,555718,578497,609813,632606,655550,677058,699779,719448,741491,764679,-901121,795554,818821,841300,863841
107,230151,238297,FALSE,283085,305859,328853,351502,382893,405711,428239,450712,473350,487724,509887,532533,555894,578302,609764,632598,655596,677029,700120,719291,741483,764489,775867,796142,818481,841205,863813
108,230246,238355,260530,283357,305969,328778,351596,382681,405475,428387,451033,473467,487821,510136,532897,555672,578138,609973,632744,655309,677264,700219,718897,FALSE,764638,775881,796268,818571,841323,863867
109,230058,238185,260703,283295,305724,328752,351682,382817,405708,428395,451212,473375,487693,510088,532747,555881,578335,609963,632580,655246,677667,700212,719024,-4907649,764512,775864,796590,818749,841023,863719
110,230256,238280,260721,283390,305882,328821,351528,382980,FALSE,428392,450904,473534,487733,510372,532787,555824,578123,610114,632414,655079,677689,700223,719236,371558,764536,775600,796523,818864,841059,863555
111,230215,238404,260509,283436,305689,328630,351522,383128,405822,428525,450615,473434,487742,510343,532802,FALSE,578127,610040,632570,654911,677932,700045,719243,741918,764666,775846,796149,819018,841064,863773
112,230152,238172,260639,283117,305615,328660,351358,383133,405984,428407,450322,473377,487716,510079,532879,555331,578192,610043,632522,654874,677874,700141,719726,741705,764484,776040,795974,819043,841049,863656
113,230081,238370,260597,283236,305780,328691,351464,383070,405672,428531,450482,473541,487826,510120,533074,555741,578204,610298,632571,654870,677537,700090,719821,741740,764633,776058,795675,819133,841307,863972
114,230022,238348,260648,283347,305945,328724,351645,383052,405797,428487,451016,FALSE,487595,509917,532775,555842,578402,610049,632578,655247,677417,700007,719779,741502,764772,776096,795859,818992,841182,863948
115,230175,238284,260667,283227,305980,328745,351475,382890,405838,428588,451085,473640,487593,510041,532701,555883,578272,609827,632477,655524,677391,700099,719545,741606,764442,775765,795926,818853,841338,863902
116,230007,238397,260661,283516,305837,328740,351426,382894,405754,428723,451001,473482,487773,510090,532874,555962,578284,609981,632748,655595,677477,700025,719075,741689,FALSE,775820,795981,818928,841245,863871
117,230007,FALSE,260743,283154,FALSE,328750,351293,383191,405766,428408,450743,473381,487673,509989,532757,555587,578286,609966,632816,655462,FALSE,700159,719173,741679,764401,775992,796184,818641,841142,863675
118,230191,5767167,260670,282998,305839,FALSE,FALSE,383079,405582,428576,450497,473242,487903,510323,532831,555451,577896,610089,632672,655145,-5938737,FALSE,719004,741970,764504,775981,796214,818689,841252,863764
119,230153,238214,260551,283261,305833,5262911,351551,382962,405720,428467,450655,473389,487741,510417,532806,555335,578109,610095,632530,654999,339440,700174,719110,742101,764414,776005,795777,818888,840975,863910
120,230263,238224,260548,283232,305806,164902,351494,382752,405852,428398,450736,473587,487807,510282,532941,555313,578117,610059,632619,654836,677809,700248,719376,741942,764558,775696,795635,819209,841070,863866
121,230177,238163,260532,283208,305714,328695,351496,382762,405756,428514,451102,473505,487927,510263,533075,555677,578108,610130,632680,655008,677893,700313,719641,742045,764656,775708,795717,819465,841368,863930
122,230184,238332,260729,283109,306033,328796,351546,382989,405923,428369,451030,473682,487804,510022,532726,555758,578301,609866,632703,655267,677602,700309,719903,741666,764655,775765,795362,819264,841411,863844
123,230221,238197,260628,283099,306007,328582,351420,383062,405792,428539,450683,473458,487949,510093,532763,555938,578232,609864,632757,655363,677589,700473,719709,741400,764602,775833,795658,818991,841447,863799
124,230110,238271,260513,283255,305836,328495,351445,383180,405825,428527,450553,473213,487815,510094,532786,555958,578328,609884,632975,655762,677550,700305,719331,741400,FALSE,776083,796127,818650,841207,863680
125,230133,238216,260703,283156,305915,328800,351362,383255,405956,428400,450558,473147,487801,510063,532806,555769,578205,609668,632705,655643,677266,700099,719009,741405,764476,775978,796278,818313,841273,863555
126,230259,238016,260576,283287,305862,328723,351488,382860,405585,428484,450808,473156,FALSE,510169,533084,555771,578045,609892,632598,655200,677471,699928,718771,741729,764291,775952,796444,818526,841265,863843
127,230105,238395,260714,283202,305915,328826,351464,382875,405786,428338,450980,473417,487861,510084,532897,555494,578077,609953,632493,655085,677400,699944,719171,741888,764444,775670,796210,818661,FALSE,863763
128,230160,238418,260541,283216,305964,328781,351371,382969,405764,428388,FALSE,473488,487967,510226,532728,555585,578134,610192,632369,654791,677484,700254,719536,741984,764521,775612,796050,818846,1682145,863877
129,229968,238259,260636,283254,305932,328803,351364,383192,405732,428531,450938,473295,487937,510176,532716,555877,578183,610320,632501,655010,677758,700128,719559,741909,764581,775919,795778,819165,16683,864071
130,229978,238340,260840,282878,305950,328891,351314,383416,405930,428402,450779,473480,487868,510016,532611,555647,578403,609880,632535,655399,677724,FALSE,719698,741671,764470,775888,795529,819024,841097,863948
131,230092,238171,260647,282886,305802,328613,351353,382968,405750,428511,450580,473332,487913,510230,532647,555749,578316,609845,632850,655285,677823,700069,719691,741575,764423,775903,795718,819182,841293,864069
132,230086,238448,260719,282950,305755,328734,351396,382877,405765,428494,450685,473293,487786,510157,532477,555632,578295,609804,632833,655369,677727,699920,719715,741232,764649,776110,795891,819135,841248,863991
133,230311,238398,260723,283008,305890,328922,351268,382870,405699,428415,450749,473419,487903,510088,532674,555489,578269,609901,632730,655472,677486,700107,719482,741240,764609,776105,796253,818964,841398,863835
134,230121,FALSE,260615,283292,305912,328779,351448,382701,405498,428641,450676,473304,488066,510119,532994,555825,578222,610063,632793,655333,677484,700313,719153,741557,764566,776105,796518,818890,841256,863800
135,230097,238442,260700,283201,306056,329008,351489,382899,405719,428349,450997,473369,487976,510041,532823,555816,578244,609980,632518,655219,677324,700097,719217,741805,764628,775916,796395,818523,841281,863579
